season,episode,release_date,title
1,01,1997/8/13,Cartman Gets an Anal Probe
1,02,1997/8/20,Weight Gain 4000
1,03,1997/8/27,Volcano
1,04,1997/9/03,Big Gay Al's Big Gay Boat Ride
1,05,1997/9/10,An Elephant Makes Love to a Pig
1,06,1997/9/17,Death
1,07,1997/10/29,Pinkeye
1,08,1997/11/19,Starvin' Marvin
1,09,1997/12/17,"Mr. Hankey, the Christmas Poo"
1,10,1998/2/04,Damien
1,11,1998/2/11,Tom's Rhinoplasty
1,12,1998/2/18,Mecha-Streisand
1,13,1998/2/25,Cartman's Mom is a Dirty Slut (1)
2,01,1998/4/01,"Terrance & Phillip in ""Not Without My Anus"""
2,02,1998/4/22,Cartman's Mom is Still a Dirty Slut (2)
2,03,1998/5/20,Chickenlover
2,04,1998/5/27,Ike's Wee Wee
2,05,1998/6/03,Conjoined Fetus Lady
2,06,1998/6/10,The Mexican Staring Frog of Southern Sri Lanka
2,07,1998/6/17,City on the Edge of Forever (a.k.a. Flashbacks)
2,08,1998/6/24,Summer Sucks
2,09,1998/8/19,Chef's Chocolate Salty Balls
2,10,1998/8/26,Chickenpox
2,11,1998/9/02,Roger Ebert Should Lay Off the Fatty Foods
2,12,1998/9/23,Clubhouses
2,13,1998/9/30,Cow Days
2,14,1998/10/07,Chef Aid
2,15,1998/10/28,Spooky Fish
2,16,1998/12/09,Merry Christmas Charlie Manson!
2,17,1998/12/16,Gnomes (a.k.a. Underpants Gnomes)
2,18,1999/1/20,Prehistoric Ice Man
3,01,1999/4/07,Rainforest Schmainforest
3,02,1999/4/14,Spontaneous Combustion
3,03,1999/4/21,The Succubus (a.k.a. Chef's Mama)
3,04,1999/6/16,Jakovasaurs
3,05,1999/6/23,Tweek vs. Craig
3,06,1999/7/07,Sexual Harassment Panda
3,07,1999/7/14,Cat Orgy (1)
3,08,1999/7/21,Two Guys Naked in a Hot Tub (2) (a.k.a. Melvins)
3,09,1999/7/28,Jewbilee (3)
3,10,1999/10/27,Korn's Groovy Pirate Ghost Mystery
3,11,1999/11/03,Chinpokomon
3,12,1999/11/10,Hooked on Monkey Fonics
3,13,1999/11/17,Starvin' Marvin in Space!
3,14,1999/11/24,The Red Badge of Gayness (a.k.a. War)
3,15,1999/12/01,Mr. Hankey's Christmas Classics
3,16,1999/12/29,"Are You There God, It's Me Jesus"
3,17,2000/1/12,Worldwide Recorder Concert (a.k.a. The Brown Noise)
4,01,2000/4/05,The Tooth Fairy's TATS 2000
4,02,2000/4/12,Cartman's Silly Hate Crime 2000
4,03,2000/4/19,Timmy! 2000
4,04,2000/4/26,Quintuplets 2000
4,05,2000/6/21,Cartman Joins NAMBLA
4,06,2000/6/28,Cherokee Hair Tampons
4,07,2000/7/05,Chef Goes Nanners
4,08,2000/7/12,Something You Can Do With Your Finger (a.k.a. Fingerbang)
4,09,2000/7/19,Do the Handicapped Go to Hell? (1)
4,10,2000/7/26,Probably (2)
4,11,2000/11/08,Fourth Grade
4,12,2000/11/15,Trapper Keeper
4,13,2000/11/22,Helen Keller! The Musical
4,14,2000/11/29,Pip (a.k.a. Great Expectations)
4,15,2000/12/06,Fat Camp
4,16,2000/12/13,The Wacky Molestation Adventure
4,17,2000/12/20,A Very Crappy Christmas
5,01,2001/6/20,It Hits the Fan
5,02,2001/6/27,Cripple Fight
